,CS,TS,DATE,HOUR,TYP
0,TTW216,1553877397,03/30-00:36,00,DEP
1,ANA8430,1553879997,03/30-01:19,01,DEP
2,KLM808,1553878804,03/30-01:00,01,DEP
3,CAL5993,1553894388,03/30-05:19,05,DEP
4,CLX6115,1553883808,03/30-02:23,02,DEP
5,XAX371,1553883957,03/30-02:25,02,DEP
6,TGW875,1553880969,03/30-01:36,01,DEP
7,CAL73,1553880796,03/30-01:33,01,DEP
8,TLM395,1553882500,03/30-02:01,02,DEP
9,TGW897,1553883354,03/30-02:15,02,DEP
10,CAL5509,1553887802,03/30-03:30,03,DEP
11,AXM129,1553889757,03/30-04:02,04,DEP
12,JST12,1553885063,03/30-02:44,02,DEP
13,JJA2686,1553883270,03/30-02:14,02,DEP
14,CEB311,1553886457,03/30-03:07,03,DEP
15,VNL100,1553884562,03/30-02:36,02,DEP
16,TWB664,1553884345,03/30-02:32,02,DEP
17,TWB9662,1553884658,03/30-02:37,02,DEP
18,ABL792,1553884794,03/30-02:39,02,DEP
19,AXM243,1553887379,03/30-03:22,03,DEP
20,JJA2654,1553886624,03/30-03:10,03,DEP
21,ABL798,1553886896,03/30-03:14,03,DEP
22,VNL102,1553887521,03/30-03:25,03,DEP
23,CKK262,1553888666,03/30-03:44,03,DEP
24,CAO1092,1553887936,03/30-03:32,03,DEP
25,CAL5541,1553898807,03/30-06:33,06,DEP
26,CAL5238,1553933651,03/30-16:14,16,DEP
27,VNL172,1553894035,03/30-05:13,05,DEP
28,CPA463,1553898280,03/30-06:24,06,DEP
29,EVA166,1553899547,03/30-06:45,06,DEP
30,VJC841,1553899201,03/30-06:40,06,DEP
31,EVA178,1553899940,03/30-06:52,06,DEP
32,TTW200,1553899810,03/30-06:50,06,DEP
33,TTW230,1553899301,03/30-06:41,06,DEP
34,TTW301,1553905743,03/30-08:29,08,DEP
35,VNL180,1553924024,03/30-13:33,13,DEP
36,TGW898,1553900337,03/30-06:58,06,DEP
37,TTW240,1553900194,03/30-06:56,06,DEP
38,CAL110,1553900851,03/30-07:07,07,DEP
39,CLX6916,1553913947,03/30-10:45,10,DEP
40,EVA112,1553901611,03/30-07:20,07,DEP
41,EVA170,1553902072,03/30-07:27,07,DEP
42,TTW210,1553901456,03/30-07:17,07,DEP
43,EVA891,1553902410,03/30-07:33,07,DEP
44,CAL833,1553901965,03/30-07:26,07,DEP
45,CAL2124,1553902720,03/30-07:38,07,DEP
46,CPA465,1553901715,03/30-07:21,07,DEP
47,CAL7915,1553901832,03/30-07:23,07,DEP
48,JST723,1553900585,03/30-07:03,07,DEP
49,TTW654,1553902182,03/30-07:29,07,DEP
50,TTW238,1553902295,03/30-07:31,07,DEP
51,EVA281,1553902493,03/30-07:34,07,DEP
52,CAL601,1553903551,03/30-07:52,07,DEP
53,CAL188,1553902606,03/30-07:36,07,DEP
54,EVA257,1553903191,03/30-07:46,07,DEP
55,CAL781,1553903305,03/30-07:48,07,DEP
56,EVA395,1553904026,03/30-08:00,08,DEP
57,CAL154,1553903077,03/30-07:44,07,DEP
58,CAL861,1553903772,03/30-07:56,07,DEP
59,CAL701,1553904996,03/30-08:16,08,DEP
60,HVN579,1553902979,03/30-07:42,07,DEP
61,THA637,1553903664,03/30-07:54,07,DEP
62,EVA225,1553904355,03/30-08:05,08,DEP
63,HVN571,1553903432,03/30-07:50,07,DEP
64,CAL160,1553904744,03/30-08:12,08,DEP
65,CAL26,1553906135,03/30-08:35,08,DEP
66,CAL903,1553905623,03/30-08:27,08,DEP
67,CRK285,1553904619,03/30-08:10,08,DEP
68,MAS69,1553904872,03/30-08:14,08,DEP
69,EVA668,1553919035,03/30-12:10,12,DEP
70,EVA851,1553905114,03/30-08:18,08,DEP
71,CAL156,1553905223,03/30-08:20,08,DEP
72,EVA106,1553905391,03/30-08:23,08,DEP
73,CAL120,1553905482,03/30-08:24,08,DEP
74,CAL549,1553906252,03/30-08:37,08,DEP
75,CAL753,1553906459,03/30-08:40,08,DEP
76,CPA407,1553905984,03/30-08:33,08,DEP
77,FEA8632,1553905850,03/30-08:30,08,DEP
78,CAL791,1553907076,03/30-08:51,08,DEP
79,EVA132,1553906878,03/30-08:47,08,DEP
80,CAL721,1553907215,03/30-08:53,08,DEP
81,TTW303,1553907752,03/30-09:02,09,DEP
82,CAL130,1553907378,03/30-08:56,08,DEP
83,CAL991,1553908269,03/30-09:11,09,DEP
